ID,Words,POS,Position,Phonemic
1,abdomen,noun,antepenultimate,/ˈæbdəmən/
2,absent,adjective,penultimate,/ˈæbsənt/
3,abstract,noun,penultimate,/ˈæbstrækt/
4,accident,noun,antepenultimate,/ˈæksɪdənt/
5,achieve,verb,ultimate,/əˈtʃiv/
6,active,adjective,penultimate,/ˈæktɪv/
7,address,noun,penultimate,/ˈædrɛs/
8,address,verb,ultimate,/əˈdrɛs/
9,admit,verb,ultimate,/ədˈmɪt/
10,Africa,noun,antepenultimate,/ˈæfrɪkə/
11,agenda,noun,penultimate,/əˈdʒɛndə/
12,agent,noun,penultimate,/ˈeɪdʒənt/
13,agree,verb,ultimate,/əˈɡri/
14,algebra,noun,antepenultimate,/ˈældʒɪbrə/
15,alive,adjective,ultimate,/əˈlaɪv/
16,ally,noun,penultimate,/əˈroʊmə/
17,ally,verb,ultimate,/əˈlaɪ/
18,ample,adjective,penultimate,/ˈæmpəl/
19,animal,noun,antepenultimate,/ˈænɪməl/
20,announce,verb,ultimate,/əˈnaʊns/
21,apocalypse,noun,antepenultimate,/əˈpɑkəlɪps/
22,appeal,noun,ultimate,/əˈpil/
23,arid,adjective,penultimate,/ˈærɪd/
24,aroma,noun,penultimate,
25,asparagus,noun,antepenultimate,/əˈspærəɡəs/
26,astronomy,noun,antepenultimate,/əˈstrɑnəmi/
27,balance,noun,penultimate,/ˈbæləns/
28,balance,verb,penultimate,/ˈbæləns/
29,ballad,noun,penultimate,/ˈbæləd/
30,balloon,noun,ultimate,/bəˈlun/
31,banal,adjective,ultimate,/bəˈnæl/
32,barracuda,noun,penutimate,/ˌbærəˈkudə/
33,basilica,noun,antepenulimate,/bəˈzɪlɪkə/
34,blossom,noun,penutimate,/ˈblɑsəm/
35,bonanza,noun,penutimate,/bəˈnænzə/
36,bother,verb,penutimate,/ˈbɑðər/
37,bottle,noun,penutimate,/ˈbɑtl/
38,bottle,verb,penultimate,/ˈbɑtl/
39,bottom,noun,penutimate,/ˈbɑtəm/
40,bottom,adjective,penultimate,/ˈbɑtəm/
41,Brazil,noun,ultimate,/brəˈzɪl/
42,buffalo,noun,antepenultimate,/ˈbʌfəloʊ/
43,busy,adjective,penultimate,/ˈbɪzi/
44,busy,verb,penultimate,/ˈbɪzi/
45,cabbage,noun,penultimate,/ˈkæbɪdʒ/
46,canal,noun,penultimate,/kəˈnæl/
47,canoe,noun,ultimate,/kəˈnu/
48,carrot,noun,penultimate,/ˈkærət/
49,cemetery,noun,initial,/ˈseməteri/
50,chicken,noun,penultimate,/ˈtʃɪkɪn/
51,combat,noun,penultimate,/ˈkɑmbæt/
52,combat,verb,ultimate,/kəmˈbæt/
53,comedy,noun,antepenultimate,/ˈkɑmɪdi/
54,common,adjective,penultimate,/ˈkɑmən/
55,complete,verb,ultimate,/kəmˈplit/
56,compress,verb,ultimate,/kəmˈprɛs/
57,compress,noun,penultimate,/ˈkɑmprɛs/
58,computer,noun,penultimate,/kəmˈpjutər/
59,conduct,verb,ultimate,/kənˈdʌkt/
60,conduct,noun,penultimate,/ˈkɑndʌkt/
61,confine,verb,ultimate,/kənˈfaɪn/
62,conflict,noun,penultimate,/ˈkɑnflɪkt/
63,constitute,verb,antepenultimate,/ˈkɑnstɪtjut/
64,constitutional,adjective,antepenultimate,/ˌkɑnstɪˈtjuʃənəl/
65,constitutionality,noun,antepenultimate,/ˌkɑnstɪtjuʃəˈnælɪti/
66,contrast,verb,penultimate,/ˈkɑntræst/
67,convict,verb,ultimate,/kənˈvɪkt/
68,convict,noun,penultimate,/ˈkɑnvɪkt/
69,cookie,noun,penultimate,/ˈkʊki/
70,correct,verb,ultimate,/kəˈrekt/
71,corrupt,adjective,ultimate,/kəˈrʌpt/
72,country,noun,penultimate,/ˈkʌntri/
73,December,noun,penultimate,/dɪˈsembər/
74,democracy,noun,antepenultimate,/dɪˈmɑkrəsi/
75,democrat,noun,antepenultimate,/ˈdɛməkræt/
76,democratic,adjective,penultimate,/ˌdɛməˈkrætɪk/
77,differ,verb,Penultimate,/ˈdɪfər/
78,digest,noun,penultimate,/ˈdaɪdʒɛst/
79,digest,verb,ultimate,/dɪˈdʒɛst/
80,dimple,noun,penultimate,/ˈdɪmpəl/
81,diploma,noun,penultimate,/dɪˈploʊmə/
82,diplomacy,noun,antepenultimate,/dɪˈploʊməsi/
83,diplomat,noun,antepenultimate,/ˈdɪpləmæt/
84,diplomatic,adjective,penultimate,/ˌdɪpləˈmætɪk/
85,director,noun,penultimate,/dɪˈrektər/ or /daɪˈrektər/
86,discharge,verb,ultimate,/dɪsˈtʃɑrdʒ/ or /ˈdɪstʃɑrdʒ/
87,discharge,noun,penultimate,/ˈdɪstʃɑrdʒ/
88,distance,noun,penultimate,/ˈdɪstəns/
89,divine,adjective,penultimate,/dɪˈvaɪn/
90,early,adverb,penultimate,/ˈɜrli/
91,empire,noun,antepenultimate,/ˈɛmpaɪər/
92,enigma,noun,penultimate,/ɪˈnɪɡmə/
93,escort,noun,penultimate,/ˈɛskɔrt/
94,escort,verb,ultimate,/ɪˈskɔrt/
95,experiment,noun,antepenultimate,/ɪkˈspɛrɪmənt/
96,export,noun,penultimate,/ˈɛkspɔrt/
97,export,verb,ultimate,/ɪkˈspɔrt/
98,extract,verb,ultimate,/ɪkˈstrækt/
99,extract,noun,penultimate,/ˈɛkstrækt/
100,father,noun,penultimate,/ˈfɑðər/
101,figure,noun,penultimate,/ˈfɪɡjər/
102,fluent,adjective,penultimate,/ˈfluənt/
103,furnish,verb,penultimate,/ˈfɜrnɪʃ/
104,gazelle,noun,ultimate,/ɡəˈzɛl/
105,giraffe,noun,ultimate,/dʒɪˈræf/
106,harmonica,noun,antepenultimate,/hɑrˈmɑnɪkə/
107,harvest,noun,penultimate,/ˈhɑrvɪst/
108,hippopotamus,noun,antepenultimate,/ˌhɪpəˈpɑtəməs/
109,honest,adjective,penultimate,/ˈɑnɪst/
110,horizon,noun,penultimate,/həˈraɪzən/
111,husband,noun,penultimate,/ˈhʌzbənd/
112,implant,verb,penultimate,/ˈɪmplænt/
113,implant,noun,ultimate,/ˈɪmplænt/
114,import,noun,penultimate,/ˈɪmpɔrt/
115,import,verb,ultimate,/ɪm'pɔrt/
116,increase,verb,ultimate,/ɪnˈkris/
117,increase,noun,penultimate,/ˈɪnkris/
118,insert,verb,ultimate,/ɪnˈsɜrt/
119,insert,noun,penultimate,/ˈɪnsɜrt/
120,insult,noun,penultimate,/ˈɪnsʌlt/
121,insult,verb,ultimate,/ɪnˈsʌlt/
122,intend,verb,ultimate,/ɪnˈtɛnd/
123,intense,adjective,ultimate,/ɪnˈtɛns/
124,interfere,verb,penultimate,/ˌɪntərˈfɪər/
125,Japan,noun,ultimate,/dʒəˈpæn/
126,July,noun,ultimate,/dʒʊˈlaɪ/
127,machine,noun,ultimate,/məˈʃin/
128,mundane,adjective,penultimate,/ˈmʌndeɪn/
129,obscene,adjective,ultimate,/əbˈsin/
130,obscure,adjective,ultimate,/əbˈskjʊər/
131,okay,adjective,ultimate,/oʊˈkeɪ/
132,origin,noun,antepenultimate,/ˈɔrɪdʒɪn/
133,camera,noun,antepenultimate,/ˈɔrɪdʒɪn/
134,original,adjective,antepenultimate,/əˈrɪdʒɪnəl/
135,originality,noun,antepenultimate,/ˌɔrɪdʒɪˈnælɪti/
136,parade,noun,ultimate,/pəˈreɪd/
137,perfect,adjective,penultimate,/ˈpɜrfɪkt/
138,perfect,verb,ultimate,/pərˈfɛkt /
139,permit,noun,penultimate,/ˈpɜrmɪt/
140,permit,verb,ultimate,/pərˈmɪt/
141,photograph,noun,antepenultimate,/ˈfoʊtəˌgræf/
142,photographic,adjective,penultimate,/ˌfoʊtəˈgræfɪk/
143,photography,noun,antepenultimate,/foʊˈtɑgrəfi/
144,policy,noun,antipenultimate,/ˈpɑlɪsi/
145,precise,adjective,ultimate,/prɪˈsaɪs/
146,predict,verb,ultimate,/prɪˈdɪkt/
147,progress,verb,ultimate,/prəˈgrɛs/
148,progress,noun,penultimate,/ˈprɒg rɛs/
149,project,noun,penultimate,/ˈproʊdʒɛkt/
150,proper,adjective,penultimate,/ˈprɑpər/
151,protest,noun,penultimate,/ˈproʊtɛst/
152,protest,verb,ultimate,/prəˈtɛst/
153,punish,verb,penultimate,/ˈpʌnɪʃ/
154,ready,adjective,penultimate,/ˈrɛdi/
155,rebel,noun,penultimate,/ˈrɛbəl/
156,rebel,verb,ultimate,/rɪˈbɛl/
157,refund,noun,penultimate,/ˈrifʌnd/
158,refund,verb,ultimate,/rɪˈfʌnd/
159,refuse,verb,ultimate,/rɪˈfjuz/
160,reject,verb,ultimate,/rɪˈdʒɛkt/
161,reject,noun,penultimate,/ˈri dʒɛkt/
162,reply,verb,penultimate,/rɪˈplaɪ/
163,retard,verb,ultimate,/rɪˈtɑrd/
164,retard,noun,ultimate,/rɪˈtɑrd/
165,sardine,noun,ultimate,/sɑrˈdin/
166,secure,adjective,ultimate,/sɪˈkjʊər/
167,serene,adjective,ultimate,/sɪˈrin/
168,shampoo,verb,ultimate,/ʃæmˈpu/
169,sincere,adjective,ultimate,/sɪnˈsɪər/
170,solid,adjective,penultimate,/ˈsɑlɪd/
171,spinach,noun,penultimate,/ˈspɪnɪtʃ/
172,subject,noun,penultimate,/ˈsʌbdʒɪkt/
173,subject,verb,ultimate,/sʌbˈdʒɛkt/
174,sudden,adjective,penultimate,/ˈsʌdən/
175,surface,noun,penulitmate,/ˈsɜrfɪs/
176,suspect,verb,ultimate,/səˈspɛkt/
177,suspect,noun,penultimate,/ˈsʌs pɛkt/
178,thermometer,noun,antepenultimate,/θərˈmɑmɪtər/
179,Tibet,noun,ultimate,/tɪˈbɛt/
180,tomato,noun,penultimate,/təˈmeɪtoʊ/
181,transfer,verb,ultimate,/trænsˈfɜr/
182,transfer,noun,penultimate,/ˈtrænsfər/
183,typhoon,noun,ultimate,/taɪˈfun/
184,visit,verb,penultimate,/ˈvɪzɪt/
185,vitamin,noun,antepenultimate,/ˈvaɪtəmɪn/
186,vulgar,adjective,penultimate,/ˈvʌlgər/
187,yellow,noun,penultimate,/ˈjɛloʊ/
188,zipper,noun,penultimate,/ˈzɪpər/
189,camera,noun,antepenultimate,/ˈkæmərə/
190,veteran,noun,antepenultimate,/ˈvɛtərən/
191,aspirin,noun,antepenultimate,/ˈæspɪrɪn/
192,temperature,noun,initial,/ˈtɛmpərətʃər/
193,reasonable,adjective,initial,/ˈrizənəbəl/
194,imaginative,adjective,initial,/ɪˈmædʒɪnətɪv/
195,principal,adjective,penultimate,/ˈprɪnsəpəl/
196,principal,noun,penultimate,/ˈprɪnsəpəl/
197,management,noun,antepenultimate,/ˈmænədʒmənt/
198,testament,noun,antepenultimate,/ˈtɛstəmənt/
199,general,adjective,antepenultimate,/ˈdʒɛnrəl/
200,opera,noun,antepenultimate,/ˈɑpərə/
201,famous,adjective,penultimate,/ˈfeɪməs/
202,vegetarian,noun,antepenultimate,/ˌvɛdʒɪˈtɛrɪən/
203,motivate,verb,antepenultimate,/ˈmoʊtəveɪt/
204,pathology,noun,antepenultimate,/pəˈθɑlədʒi/
205,facilitate,verb,antepenultimate,/fəˈsɪlɪteɪt/
206,generality,noun,antepenultimate,/ˌdʒɛnrəˈlɪti/
207,operatic,adjective,penultimate,/ˌɑpəˈrætɪk/
208,imagination,noun,penultimate,/ɪˌmædʒɪˈneɪʃən/
209,testimony,noun,initial,/ˈtɛstəˌmoʊni/
210,principality,noun,antepenultimate,/prɪnsəˈpælɪti/
211,gratification,noun,penultimate,/ˌɡrætɪfɪˈkeɪʃən/
212,conciliation,noun,penultimate,/ˌkɑnsɪliˈeɪʃən/
213,autograph,noun,antepenultimate,/ˈɔtəɡræf/
214,punishable,adjective,initial,/ˈpʌnɪʃəbəl/
215,consumptiveness,noun,antepenultimate,/kənˈsʌmptɪvnəs/
216,modality,noun,antepenultimate,/moʊˈdælɪti/
217,phonological,adjective,antepenultimate,/ˌfoʊnəˈlɑdʒɪkəl/
218,profundity,noun,antepenultimate,/prəˈfʌndɪti/
219,resumption,noun,penultimate,/rɪˈzʌmpʃən/
220,diagnosis,noun,penultimate,/daɪægˈnoʊsɪs/
221,neutralize,verb,antepenultimate,/ˈnjutrəlaɪz/
222,resignation,noun,penultimate,/rɪzɪgˈneɪʃən/
223,eccentricity,noun,antepenultimate,/ɪksɛnˈtrɪsɪti/
224,recessional,adjective,antepenultimate,/rɪˈsɛʃənəl/
225,protestation,noun,penultimate,/prətɛsˈteɪʃən/
226,assassination,noun,penultimate,/əˌsæsəˈneɪʃən/
227,agriculture,noun,initial,/ˈæɡrɪˌkʌltʃər/
228,macaroni,noun,penultimate,/ˌmækəˈroʊni/
229,transcription,noun,penultimate,/trænˈskrɪpʃən/
230,education,noun,penultimate,/ˌɛdʒʊˈkeɪʃən/
231,aristocracy,noun,antepenultimate,/ˌærɪˈstɑkrəsi/
232,transistor,noun,penultimate,/trænˈzɪstər/
233,saxophone,noun,antepenultimate,/ˈsæksəfoʊn/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
